,daily change
2000-07-19,BIGPOS
2000-07-20,MEDNEG
2000-07-21,MEDNEG
2000-07-22,MEDNEG
2000-07-23,MEDNEG
2000-07-24,SMAPOS
2000-07-25,BIGNEG
2000-07-26,MEDPOS
2000-07-27,MEDNEG
2000-07-28,SMAPOS
2000-07-29,SMAPOS
2000-07-30,SMAPOS
2000-07-31,MEDPOS
2000-08-01,MEDPOS
2000-08-02,SMAPOS
2000-08-03,MEDPOS
2000-08-04,MEDPOS
2000-08-05,MEDPOS
2000-08-06,MEDPOS
2000-08-07,MEDPOS
2000-08-08,MEDNEG
2000-08-09,SMAPOS
2000-08-10,MEDPOS
2000-08-11,BIGPOS
2000-08-12,BIGPOS
2000-08-13,BIGPOS
2000-08-14,MEDNEG
2000-08-15,MEDNEG
2000-08-16,MEDPOS
2000-08-17,SMANEG
2000-08-18,MEDPOS
2000-08-19,MEDPOS
2000-08-20,MEDPOS
2000-08-21,MEDPOS
2000-08-22,SMAPOS
2000-08-23,MEDPOS
2000-08-24,SMAPOS
2000-08-25,MEDPOS
2000-08-26,MEDPOS
2000-08-27,MEDPOS
2000-08-28,MEDNEG
2000-08-29,MEDNEG
2000-08-30,MEDPOS
2000-08-31,SMAPOS
2000-09-01,SMAPOS
2000-09-02,SMAPOS
2000-09-03,SMAPOS
2000-09-04,SMAPOS
2000-09-05,MEDPOS
2000-09-06,MEDNEG
2000-09-07,MEDNEG
2000-09-08,SMANEG
2000-09-09,SMANEG
2000-09-10,SMANEG
2000-09-11,MEDPOS
2000-09-12,MEDNEG
2000-09-13,MEDNEG
2000-09-14,BIGNEG
2000-09-15,MEDNEG
2000-09-16,MEDNEG
2000-09-17,MEDNEG
2000-09-18,SMANEG
2000-09-19,MEDNEG
2000-09-20,MEDPOS
2000-09-21,MEDPOS
2000-09-22,MEDNEG
2000-09-23,MEDNEG
2000-09-24,MEDNEG
2000-09-25,BIGNEG
2000-09-26,SMANEG
2000-09-27,BIGPOS
2000-09-28,BIGNEG
2000-09-29,MEDPOS
2000-09-30,MEDPOS
2000-10-01,MEDPOS
2000-10-02,SMAPOS
2000-10-03,MEDPOS
2000-10-04,MEDNEG
2000-10-05,BIGNEG
2000-10-06,MEDNEG
2000-10-07,MEDNEG
2000-10-08,MEDNEG
2000-10-09,MEDNEG
2000-10-10,MEDNEG
2000-10-11,BIGNEG
2000-10-12,BIGPOS
2000-10-13,MEDPOS
2000-10-14,MEDPOS
2000-10-15,MEDPOS
2000-10-16,BIGNEG
2000-10-17,MEDNEG
2000-10-18,BIGPOS
2000-10-19,MEDPOS
2000-10-20,MEDPOS
2000-10-21,MEDPOS
2000-10-22,MEDPOS
2000-10-23,MEDPOS
2000-10-24,MEDNEG
2000-10-25,MEDPOS
2000-10-26,BIGPOS
2000-10-27,BIGPOS
2000-10-28,BIGPOS
2000-10-29,BIGPOS
2000-10-30,BIGPOS
2000-10-31,MEDNEG
2000-11-01,SMANEG
2000-11-02,MEDNEG
2000-11-03,BIGPOS
2000-11-04,BIGPOS
2000-11-05,BIGPOS
2000-11-06,SMANEG
2000-11-07,MEDNEG
2000-11-08,MEDNEG
2000-11-09,BIGNEG
2000-11-10,MEDNEG
2000-11-11,MEDNEG
2000-11-12,MEDNEG
2000-11-13,BIGPOS
2000-11-14,SMAPOS
2000-11-15,MEDNEG
2000-11-16,SMANEG
2000-11-17,BIGNEG
2000-11-18,BIGNEG
2000-11-19,BIGNEG
2000-11-20,MEDPOS
2000-11-21,MEDNEG
2000-11-22,MEDPOS
2000-11-23,MEDPOS
2000-11-24,MEDPOS
2000-11-25,MEDPOS
2000-11-26,MEDPOS
2000-11-27,MEDNEG
2000-11-28,MEDPOS
2000-11-29,BIGNEG
2000-11-30,MEDNEG
2000-12-01,BIGPOS
2000-12-02,BIGPOS
2000-12-03,BIGPOS
2000-12-04,BIGPOS
2000-12-05,BIGNEG
2000-12-06,MEDNEG
2000-12-07,MEDPOS
2000-12-08,SMAPOS
2000-12-09,SMAPOS
2000-12-10,SMAPOS
2000-12-11,MEDPOS
2000-12-12,SMAPOS
2000-12-13,MEDNEG
2000-12-14,BIGNEG
2000-12-15,BIGPOS
2000-12-16,BIGPOS
2000-12-17,BIGPOS
2000-12-18,MEDNEG
2000-12-19,BIGNEG
2000-12-20,BIGPOS
2000-12-21,BIGPOS
2000-12-22,MEDPOS
2000-12-23,MEDPOS
2000-12-24,MEDPOS
2000-12-25,MEDPOS
2000-12-26,MEDPOS
2000-12-27,MEDPOS
2000-12-28,MEDNEG
2000-12-29,BIGNEG
2000-12-30,BIGNEG
2000-12-31,BIGNEG
2001-01-01,BIGNEG
2001-01-02,BIGPOS
2001-01-03,MEDNEG
2001-01-04,BIGNEG
2001-01-05,MEDNEG
2001-01-06,MEDNEG
2001-01-07,MEDNEG
2001-01-08,MEDNEG
2001-01-09,MEDPOS
2001-01-10,SMAPOS
2001-01-11,MEDNEG
2001-01-12,BIGPOS
2001-01-13,BIGPOS
2001-01-14,BIGPOS
2001-01-15,BIGPOS
2001-01-16,MEDNEG
2001-01-17,MEDPOS
2001-01-18,MEDNEG
2001-01-19,SMANEG
2001-01-20,SMANEG
2001-01-21,SMANEG
2001-01-22,MEDPOS
2001-01-23,SMANEG
2001-01-24,MEDPOS
2001-01-25,MEDNEG
2001-01-26,MEDPOS
2001-01-27,MEDPOS
2001-01-28,MEDPOS
2001-01-29,BIGPOS
2001-01-30,SMAPOS
2001-01-31,MEDPOS
2001-02-01,MEDNEG
2001-02-02,MEDPOS
2001-02-03,MEDPOS
2001-02-04,MEDPOS
2001-02-05,SMANEG
2001-02-06,SMANEG
2001-02-07,MEDNEG
2001-02-08,MEDNEG
2001-02-09,BIGPOS
2001-02-10,BIGPOS
2001-02-11,BIGPOS
2001-02-12,MEDNEG
2001-02-13,MEDNEG
2001-02-14,MEDPOS
2001-02-15,MEDNEG
2001-02-16,MEDNEG
2001-02-17,MEDNEG
2001-02-18,MEDNEG
2001-02-19,MEDNEG
2001-02-20,BIGNEG
2001-02-21,SMAPOS
2001-02-22,MEDNEG
2001-02-23,BIGPOS
2001-02-24,BIGPOS
2001-02-25,BIGPOS
2001-02-26,SMANEG
2001-02-27,BIGNEG
2001-02-28,MEDNEG
2001-03-01,SMAPOS
2001-03-02,MEDPOS
2001-03-03,MEDPOS
2001-03-04,MEDPOS
2001-03-05,MEDPOS
2001-03-06,BIGPOS
2001-03-07,BIGPOS
2001-03-08,BIGNEG
2001-03-09,BIGNEG
2001-03-10,BIGNEG
2001-03-11,BIGNEG
2001-03-12,MEDPOS
2001-03-13,BIGNEG
2001-03-14,MEDPOS
2001-03-15,BIGNEG
2001-03-16,BIGPOS
2001-03-17,BIGPOS
2001-03-18,BIGPOS
2001-03-19,BIGNEG
2001-03-20,BIGNEG
2001-03-21,MEDNEG
2001-03-22,MEDPOS
2001-03-23,BIGPOS
2001-03-24,BIGPOS
2001-03-25,BIGPOS
2001-03-26,BIGPOS
2001-03-27,BIGNEG
2001-03-28,SMAPOS
2001-03-29,MEDPOS
2001-03-30,MEDNEG
2001-03-31,MEDNEG
2001-04-01,MEDNEG
2001-04-02,BIGNEG
2001-04-03,MEDPOS
2001-04-04,BIGPOS
2001-04-05,MEDNEG
2001-04-06,MEDPOS
2001-04-07,MEDPOS
2001-04-08,MEDPOS
2001-04-09,BIGPOS
2001-04-10,MEDNEG
2001-04-11,MEDPOS
2001-04-12,MEDPOS
2001-04-13,MEDPOS
2001-04-14,MEDPOS
2001-04-15,MEDPOS
2001-04-16,MEDPOS
2001-04-17,BIGPOS
2001-04-18,MEDPOS
2001-04-19,MEDNEG
2001-04-20,MEDNEG
2001-04-21,MEDNEG
2001-04-22,MEDNEG
2001-04-23,MEDNEG
2001-04-24,BIGPOS
2001-04-25,MEDPOS
2001-04-26,MEDPOS
2001-04-27,MEDNEG
2001-04-28,MEDNEG
2001-04-29,MEDNEG
2001-04-30,BIGPOS
2001-05-01,SMANEG
2001-05-02,MEDNEG
2001-05-03,BIGPOS
2001-05-04,SMANEG
2001-05-05,SMANEG
2001-05-06,SMANEG
2001-05-07,MEDNEG
2001-05-08,SMANEG
2001-05-09,MEDPOS
2001-05-10,MEDNEG
2001-05-11,MEDPOS
2001-05-12,MEDPOS
2001-05-13,MEDPOS
2001-05-14,SMANEG
2001-05-15,BIGPOS
2001-05-16,MEDPOS
2001-05-17,MEDPOS
2001-05-18,MEDPOS
2001-05-19,MEDPOS
2001-05-20,MEDPOS
2001-05-21,MEDNEG
2001-05-22,BIGNEG
2001-05-23,SMAPOS
2001-05-24,MEDNEG
2001-05-25,MEDPOS
2001-05-26,MEDPOS
2001-05-27,MEDPOS
2001-05-28,MEDPOS
2001-05-29,BIGNEG
2001-05-30,MEDPOS
2001-05-31,MEDPOS
2001-06-01,MEDPOS
2001-06-02,MEDPOS
2001-06-03,MEDPOS
2001-06-04,MEDPOS
2001-06-05,MEDNEG
2001-06-06,SMAPOS
2001-06-07,MEDNEG
2001-06-08,MEDNEG
2001-06-09,MEDNEG
2001-06-10,MEDNEG
2001-06-11,SMAPOS
2001-06-12,MEDNEG
2001-06-13,BIGNEG
2001-06-14,MEDNEG
2001-06-15,SMAPOS
2001-06-16,SMAPOS
2001-06-17,SMAPOS
2001-06-18,MEDNEG
2001-06-19,MEDPOS
2001-06-20,MEDPOS
2001-06-21,MEDNEG
2001-06-22,MEDNEG
2001-06-23,MEDNEG
2001-06-24,MEDNEG
2001-06-25,MEDNEG
2001-06-26,MEDNEG
2001-06-27,BIGPOS
2001-06-28,MEDNEG
2001-06-29,MEDPOS
2001-06-30,MEDPOS
2001-07-01,MEDPOS
2001-07-02,SMANEG
2001-07-03,MEDNEG
2001-07-04,MEDNEG
2001-07-05,BIGNEG
2001-07-06,MEDPOS
2001-07-07,MEDPOS
2001-07-08,MEDPOS
2001-07-09,MEDNEG
2001-07-10,MEDPOS
2001-07-11,BIGPOS
2001-07-12,MEDPOS
2001-07-13,MEDNEG
2001-07-14,MEDNEG
2001-07-15,MEDNEG
2001-07-16,BIGPOS
2001-07-17,MEDNEG
2001-07-18,MEDPOS
2001-07-19,MEDNEG
2001-07-20,BIGNEG
2001-07-21,BIGNEG
2001-07-22,BIGNEG
2001-07-23,BIGNEG
2001-07-24,BIGPOS
2001-07-25,MEDPOS
2001-07-26,MEDNEG
2001-07-27,SMANEG
2001-07-28,SMANEG
2001-07-29,SMANEG
2001-07-30,MEDPOS
2001-07-31,SMANEG
2001-08-01,MEDPOS
2001-08-02,MEDNEG
2001-08-03,MEDNEG
2001-08-04,MEDNEG
2001-08-05,MEDNEG
2001-08-06,MEDPOS
2001-08-07,BIGNEG
2001-08-08,SMAPOS
2001-08-09,MEDPOS
2001-08-10,SMANEG
2001-08-11,SMANEG
2001-08-12,SMANEG
2001-08-13,SMANEG
2001-08-14,MEDNEG
2001-08-15,MEDPOS
2001-08-16,BIGNEG
2001-08-17,MEDPOS
2001-08-18,MEDPOS
2001-08-19,MEDPOS
2001-08-20,BIGNEG
2001-08-21,MEDPOS
2001-08-22,MEDNEG
2001-08-23,BIGPOS
2001-08-24,MEDNEG
2001-08-25,MEDNEG
2001-08-26,MEDNEG
2001-08-27,BIGNEG
2001-08-28,BIGNEG
2001-08-29,BIGNEG
2001-08-30,MEDPOS
2001-08-31,MEDPOS
2001-09-01,MEDPOS
2001-09-02,MEDPOS
2001-09-03,MEDPOS
2001-09-04,MEDPOS
2001-09-05,BIGNEG
2001-09-06,BIGNEG
2001-09-07,SMANEG
2001-09-08,SMANEG
2001-09-09,SMANEG
2001-09-10,BIGNEG
2001-09-11,BIGNEG
2001-09-12,BIGNEG
2001-09-13,BIGNEG
2001-09-14,BIGNEG
2001-09-15,BIGNEG
2001-09-16,BIGNEG
2001-09-17,SMANEG
2001-09-18,BIGNEG
2001-09-19,BIGNEG
2001-09-20,BIGNEG
2001-09-21,BIGPOS
2001-09-22,BIGPOS
2001-09-23,BIGPOS
2001-09-24,MEDPOS
2001-09-25,MEDNEG
2001-09-26,MEDPOS
2001-09-27,BIGPOS
2001-09-28,SMANEG
2001-09-29,SMANEG
2001-09-30,SMANEG
2001-10-01,MEDPOS
2001-10-02,BIGPOS
2001-10-03,MEDNEG
2001-10-04,MEDPOS
2001-10-05,MEDNEG
2001-10-06,MEDNEG
2001-10-07,MEDNEG
2001-10-08,SMANEG
2001-10-09,BIGPOS
2001-10-10,BIGPOS
2001-10-11,MEDNEG
2001-10-12,SMAPOS
2001-10-13,SMAPOS
2001-10-14,SMAPOS
2001-10-15,MEDPOS
2001-10-16,BIGNEG
2001-10-17,MEDNEG
2001-10-18,MEDPOS
2001-10-19,BIGPOS
2001-10-20,BIGPOS
2001-10-21,BIGPOS
2001-10-22,MEDNEG
2001-10-23,SMAPOS
2001-10-24,MEDPOS
2001-10-25,MEDPOS
2001-10-26,BIGNEG
2001-10-27,BIGNEG
2001-10-28,BIGNEG
2001-10-29,BIGNEG
2001-10-30,MEDNEG
2001-10-31,BIGPOS
2001-11-01,MEDPOS
2001-11-02,MEDPOS
2001-11-03,MEDPOS
2001-11-04,MEDPOS
2001-11-05,BIGPOS
2001-11-06,MEDNEG
2001-11-07,MEDPOS
2001-11-08,SMAPOS
2001-11-09,MEDNEG
2001-11-10,MEDNEG
2001-11-11,MEDNEG
2001-11-12,BIGPOS
2001-11-13,MEDPOS
2001-11-14,MEDPOS
2001-11-15,SMANEG
2001-11-16,MEDPOS
2001-11-17,MEDPOS
2001-11-18,MEDPOS
2001-11-19,MEDNEG
2001-11-20,MEDNEG
2001-11-21,BIGPOS
2001-11-22,BIGPOS
2001-11-23,SMAPOS
2001-11-24,SMAPOS
2001-11-25,SMAPOS
2001-11-26,MEDNEG
2001-11-27,BIGNEG
2001-11-28,MEDPOS
2001-11-29,SMAPOS
2001-11-30,MEDNEG
2001-12-01,MEDNEG
2001-12-02,MEDNEG
2001-12-03,BIGPOS
2001-12-04,BIGPOS
2001-12-05,SMANEG
2001-12-06,MEDNEG
2001-12-07,MEDNEG
2001-12-08,MEDNEG
2001-12-09,MEDNEG
2001-12-10,MEDNEG
2001-12-11,SMAPOS
2001-12-12,BIGNEG
2001-12-13,MEDPOS
2001-12-14,MEDPOS
2001-12-15,MEDPOS
2001-12-16,MEDPOS
2001-12-17,MEDPOS
2001-12-18,MEDPOS
2001-12-19,MEDNEG
2001-12-20,MEDPOS
2001-12-21,SMANEG
2001-12-22,SMANEG
2001-12-23,SMANEG
2001-12-24,MEDPOS
2001-12-25,MEDPOS
2001-12-26,MEDPOS
2001-12-27,SMAPOS
2001-12-28,MEDNEG
2001-12-29,MEDNEG
2001-12-30,MEDNEG
2001-12-31,MEDPOS
2002-01-01,MEDPOS
2002-01-02,MEDPOS
2002-01-03,MEDPOS
2002-01-04,MEDNEG
2002-01-05,MEDNEG
2002-01-06,MEDNEG
2002-01-07,MEDNEG
2002-01-08,MEDNEG
2002-01-09,SMANEG
2002-01-10,MEDNEG
2002-01-11,MEDNEG
2002-01-12,MEDNEG
2002-01-13,MEDNEG
2002-01-14,MEDPOS
2002-01-15,BIGNEG
2002-01-16,BIGPOS
2002-01-17,MEDNEG
2002-01-18,MEDNEG
2002-01-19,MEDNEG
2002-01-20,MEDNEG
2002-01-21,MEDNEG
2002-01-22,SMAPOS
2002-01-23,MEDPOS
2002-01-24,MEDPOS
2002-01-25,SMAPOS
2002-01-26,SMAPOS
2002-01-27,SMAPOS
2002-01-28,BIGNEG
2002-01-29,BIGPOS
2002-01-30,BIGPOS
2002-01-31,SMANEG
2002-02-01,BIGNEG
2002-02-02,BIGNEG
2002-02-03,BIGNEG
2002-02-04,SMANEG
2002-02-05,MEDNEG
2002-02-06,MEDNEG
2002-02-07,MEDPOS
2002-02-08,BIGPOS
2002-02-09,BIGPOS
2002-02-10,BIGPOS
2002-02-11,SMANEG
2002-02-12,BIGPOS
2002-02-13,SMAPOS
2002-02-14,MEDNEG
2002-02-15,BIGNEG
2002-02-16,BIGNEG
2002-02-17,BIGNEG
2002-02-18,BIGNEG
2002-02-19,BIGPOS
2002-02-20,MEDNEG
2002-02-21,BIGPOS
2002-02-22,BIGPOS
2002-02-23,BIGPOS
2002-02-24,BIGPOS
2002-02-25,MEDNEG
2002-02-26,SMAPOS
2002-02-27,SMANEG
2002-02-28,BIGPOS
2002-03-01,BIGPOS
2002-03-02,BIGPOS
2002-03-03,BIGPOS
2002-03-04,BIGNEG
2002-03-05,BIGPOS
2002-03-06,MEDNEG
2002-03-07,MEDPOS
2002-03-08,MEDPOS
2002-03-09,MEDPOS
2002-03-10,MEDPOS
2002-03-11,SMAPOS
2002-03-12,BIGNEG
2002-03-13,SMAPOS
2002-03-14,MEDPOS
2002-03-15,MEDNEG
2002-03-16,MEDNEG
2002-03-17,MEDNEG
2002-03-18,MEDPOS
2002-03-19,BIGNEG
2002-03-20,SMANEG
2002-03-21,MEDNEG
2002-03-22,BIGNEG
2002-03-23,BIGNEG
2002-03-24,BIGNEG
2002-03-25,MEDPOS
2002-03-26,MEDPOS
2002-03-27,SMANEG
2002-03-28,MEDNEG
2002-03-29,MEDNEG
2002-03-30,MEDNEG
2002-03-31,MEDNEG
2002-04-01,MEDNEG
2002-04-02,MEDNEG
2002-04-03,MEDPOS
2002-04-04,MEDPOS
2002-04-05,SMANEG
2002-04-06,SMANEG
2002-04-07,SMANEG
2002-04-08,MEDNEG
2002-04-09,BIGPOS
2002-04-10,BIGNEG
2002-04-11,SMAPOS
2002-04-12,MEDNEG
2002-04-13,MEDNEG
2002-04-14,MEDNEG
2002-04-15,BIGPOS
2002-04-16,MEDNEG
2002-04-17,SMANEG
2002-04-18,MEDPOS
2002-04-19,MEDNEG
2002-04-20,MEDNEG
2002-04-21,MEDNEG
2002-04-22,MEDNEG
2002-04-23,MEDNEG
2002-04-24,SMAPOS
2002-04-25,MEDNEG
2002-04-26,MEDNEG
2002-04-27,MEDNEG
2002-04-28,MEDNEG
2002-04-29,BIGPOS
2002-04-30,MEDPOS
2002-05-01,MEDPOS
2002-05-02,MEDNEG
2002-05-03,BIGNEG
2002-05-04,BIGNEG
2002-05-05,BIGNEG
2002-05-06,SMAPOS
2002-05-07,BIGPOS
2002-05-08,MEDNEG
2002-05-09,MEDNEG
2002-05-10,BIGPOS
2002-05-11,BIGPOS
2002-05-12,BIGPOS
2002-05-13,BIGPOS
2002-05-14,MEDNEG
2002-05-15,MEDPOS
2002-05-16,MEDPOS
2002-05-17,MEDNEG
2002-05-18,MEDNEG
2002-05-19,MEDNEG
2002-05-20,MEDNEG
2002-05-21,MEDPOS
2002-05-22,MEDPOS
2002-05-23,MEDNEG
2002-05-24,MEDNEG
2002-05-25,MEDNEG
2002-05-26,MEDNEG
2002-05-27,MEDNEG
2002-05-28,MEDNEG
2002-05-29,SMANEG
2002-05-30,SMAPOS
2002-05-31,BIGNEG
2002-06-01,BIGNEG
2002-06-02,BIGNEG
2002-06-03,SMANEG
2002-06-04,MEDPOS
2002-06-05,BIGNEG
2002-06-06,MEDNEG
2002-06-07,MEDPOS
2002-06-08,MEDPOS
2002-06-09,MEDPOS
2002-06-10,BIGNEG
2002-06-11,MEDPOS
2002-06-12,MEDNEG
2002-06-13,MEDNEG
2002-06-14,BIGPOS
2002-06-15,BIGPOS
2002-06-16,BIGPOS
2002-06-17,SMAPOS
2002-06-18,BIGNEG
2002-06-19,BIGNEG
2002-06-20,BIGNEG
2002-06-21,SMAPOS
2002-06-22,SMAPOS
2002-06-23,SMAPOS
2002-06-24,BIGNEG
2002-06-25,SMANEG
2002-06-26,BIGPOS
2002-06-27,SMANEG
2002-06-28,BIGNEG
2002-06-29,BIGNEG
2002-06-30,BIGNEG
2002-07-01,MEDNEG
2002-07-02,MEDPOS
2002-07-03,BIGPOS
2002-07-04,BIGPOS
2002-07-05,MEDNEG
2002-07-06,MEDNEG
2002-07-07,MEDNEG
2002-07-08,BIGNEG
2002-07-09,BIGNEG
2002-07-10,SMANEG
2002-07-11,MEDNEG
2002-07-12,MEDNEG
2002-07-13,MEDNEG
2002-07-14,MEDNEG
2002-07-15,BIGNEG
2002-07-16,MEDPOS
2002-07-17,BIGNEG
2002-07-18,BIGNEG
2002-07-19,BIGNEG
2002-07-20,BIGNEG
2002-07-21,BIGNEG
2002-07-22,MEDNEG
2002-07-23,BIGPOS
2002-07-24,SMANEG
2002-07-25,MEDPOS
2002-07-26,BIGPOS
2002-07-27,BIGPOS
2002-07-28,BIGPOS
2002-07-29,MEDNEG
2002-07-30,MEDPOS
2002-07-31,BIGNEG
2002-08-01,BIGNEG
2002-08-02,BIGNEG
2002-08-03,BIGNEG
2002-08-04,BIGNEG
2002-08-05,BIGPOS
2002-08-06,BIGPOS
2002-08-07,BIGPOS
2002-08-08,MEDPOS
2002-08-09,MEDNEG
2002-08-10,MEDNEG
2002-08-11,MEDNEG
2002-08-12,BIGNEG
2002-08-13,BIGPOS
2002-08-14,MEDPOS
2002-08-15,MEDNEG
2002-08-16,BIGPOS
2002-08-17,BIGPOS
2002-08-18,BIGPOS
2002-08-19,MEDNEG
2002-08-20,MEDPOS
2002-08-21,MEDPOS
2002-08-22,BIGNEG
2002-08-23,MEDPOS
2002-08-24,MEDPOS
2002-08-25,MEDPOS
2002-08-26,MEDNEG
2002-08-27,BIGNEG
2002-08-28,SMANEG
2002-08-29,SMANEG
2002-08-30,BIGNEG
2002-08-31,BIGNEG
2002-09-01,BIGNEG
2002-09-02,BIGNEG
2002-09-03,MEDPOS
2002-09-04,BIGNEG
2002-09-05,BIGPOS
2002-09-06,MEDPOS
2002-09-07,MEDPOS
2002-09-08,MEDPOS
2002-09-09,MEDPOS
2002-09-10,SMANEG
2002-09-11,BIGNEG
2002-09-12,MEDNEG
2002-09-13,MEDPOS
2002-09-14,MEDPOS
2002-09-15,MEDPOS
2002-09-16,BIGNEG
2002-09-17,MEDNEG
2002-09-18,BIGNEG
2002-09-19,MEDPOS
2002-09-20,MEDNEG
2002-09-21,MEDNEG
2002-09-22,MEDNEG
2002-09-23,BIGNEG
2002-09-24,BIGPOS
2002-09-25,BIGPOS
2002-09-26,BIGNEG
2002-09-27,MEDNEG
2002-09-28,MEDNEG
2002-09-29,MEDNEG
2002-09-30,BIGPOS
2002-10-01,BIGNEG
2002-10-02,MEDNEG
